CladeA,CladeB,CladeC,CladeD,CladeE,CladeF,CladeG,CladeH,CladeI,,,,,,,,,,,,,,value,group
0.01221217,0.00988681,0.01019242,0.0102914,0.00502194,0.0765716,0.07116735,0.10929469,,,,,,,,,,,,,,,0.01221217,A
0.00599163,0.00493105,0.01027344,0.00513458,0.13902415,0.07560375,0.30868784,0.08347772,,,,,,,,,,,,,,,0.00599163,A
0.01195516,0.00997052,0.01561407,0.01038877,0.13233609,0.06485375,0.30030963,0.08425042,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.00988699,0.02114126,0.01029166,0.13902415,0.05897437,0.31374858,0.08320663,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.00988699,0.00510962,0.01029231,0.13910587,0.08903116,0.32250694,0.08352723,,,,,,,,,,,,,,,0.01195516,A
0.01221207,0.00988699,0.01019111,0.01038993,0.12597022,0.08275338,0.33124371,0.08326235,,,,,,,,,,,,,,,0.01221207,A
0.0119561,0.00997052,0.01039706,0.01038877,0.10741314,0.07067468,0.08691167,0.07098996,,,,,,,,,,,,,,,0.0119561,A
0.01221207,0.00997133,0.0101915,0.01038877,0.13861319,0.08275338,0.07567489,0.07795829,,,,,,,,,,,,,,,0.01221207,A
0.01221207,0.00988621,0.01019111,0.01029231,0.05260301,0.0888704,0.07569148,0.0638211,,,,,,,,,,,,,,,0.01221207,A
0.01221173,0.00997052,0.0101915,0.01029166,0.03083836,0.08243146,0.05999059,0.07582462,,,,,,,,,,,,,,,0.01221173,A
0.01221173,0.00988699,0.01039706,0.01038877,0.03615057,0.00508362,0.11167592,0.22347524,,,,,,,,,,,,,,,0.01221173,A
0.01195516,0.00495515,0.0102256,0.00513458,,0.08137,0.4579984,,,,,,,,,,,,,,,,0.01195516,A
0.01808473,0.00988602,0.01538849,0.01038877,,0.07052974,0.4694583,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.01007207,0.02072911,0.01029166,,0.06448497,0.52906368,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.01007207,0.00508149,0.01029231,,0.09487256,0.54431849,,,,,,,,,,,,,,,,0.01808473,A
0.0181756,0.01007207,0.01027803,0.01038993,,0.08855688,0.52906368,,,,,,,,,,,,,,,,0.0181756,A
0.01808843,0.00988602,0.01019203,0.01038877,,0.07640315,0.302942,,,,,,,,,,,,,,,,0.01808843,A
0.0181756,0.00988621,0.01027956,0.01038877,,0.08855688,0.3232755,,,,,,,,,,,,,,,,0.0181756,A
0.0181756,0.01006903,0.01027803,0.01029231,,0.09472573,0.30477636,,,,,,,,,,,,,,,,0.0181756,A
0.01817526,0.00988602,0.01027956,0.01029166,,0.08825005,0.32066555,,,,,,,,,,,,,,,,0.01817526,A
0.01817526,0.01007207,0.01019203,0.01038877,,0.01021055,0.33077206,,,,,,,,,,,,,,,,0.01817526,A
0.00596353,0.00988621,0.01019111,0.01038993,,0.0050928,0.35782424,,,,,,,,,,,,,,,,0.00596353,A
0.01195516,0.00493087,0.01027344,0.01029205,,0.06424047,,,,,,,,,,,,,,,,,0.01195516,A
0.01808473,0.00996984,0.01561407,0.01554551,,0.07162694,,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.00988681,0.02114126,0.01561797,,0.06532226,,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.00988681,0.00510962,0.0156209,,0.07065161,,,,,,,,,,,,,,,,,0.01808473,A
0.0181756,0.00988681,0.01019111,0.0155465,,0.06484316,,,,,,,,,,,,,,,,,0.0181756,A
0.01808843,0.00996984,0.01039706,0.01554551,,0.05364803,,,,,,,,,,,,,,,,,0.01808843,A
0.0181756,0.00997052,0.0101915,0.01554551,,0.06484316,,,,,,,,,,,,,,,,,0.0181756,A
0.0181756,0.00988602,0.01019111,0.0156209,,0.07095251,,,,,,,,,,,,,,,,,0.0181756,A
0.01817526,0.00996984,0.0101915,0.01561797,,0.06530785,,,,,,,,,,,,,,,,,0.01817526,A
